name,platforms,genres,publishers
Gangstar New Orleans: Online Open World Game,iOS,Action||Adventure,Gameloft
Team17 Indie Heroes Pack,Xbox One||PlayStation 4,,Team17 Digital
Clash of Aliens,iOS,Action||Strategy,marcel Weber
Dynasty Warriors: Unleashed,iOS||Android,Action||RPG,NEXON KOREA
Meganoid(2017),iOS||Android,Action||Arcade||Casual,Pascal Bestebroer
Sky Ride,Nintendo Switch||PlayStation 4,,MUTAN
"Warhammer 40,000: Freeblade",iOS,Action||RPG,Pixel Toys
Disc Drivin',iOS,Action||Racing,Pixelocity Software
KYURINAGA'S REVENGE,PC||Xbox One||PlayStation 4,Action||Adventure,RecoTechnology
Disc Drivin' Free,iOS,Action||Racing,Pixelocity Software
Disc Drivin' HD,iOS,Action||Racing,Pixelocity Software
The World of Magic,iOS||Android,Adventure||RPG,Com2uS||Com2uS USA
Star Command,iOS||Android||PC,Strategy||Simulation,Star Command||Warballoon Games
Puzzle Craft,Android||iOS,Simulation||Puzzle,Chillingo
Dungeon Plunder,iOS,Adventure||RPG,Dominic Duchesne
Monster Adventures,iOS||Android||macOS,Adventure||RPG,Foursaken Media
Dungeon Quest,PC||iOS,Adventure||RPG,Shiny Box||Akash Balloo
MX Nitro,PC||Xbox One||PlayStation 4,Simulation||Sports||Racing,Miniclip
The Infinity Project,iOS,Action||Adventure,Crazy Robot
Horn,Android||iOS,Action||Adventure,Phosphor Games
Assoluto Racing,iOS||Android,Simulation||Sports||Racing,Infinity Vector
Active Soccer 2,iOS||PC,Sports||Arcade,Gianluca Troiano||The Fox Software
Survivalcraft,Android||iOS,Action||Adventure,Igor Kalicinski
War Tortoise,iOS||Android,Action||Arcade||Casual,Foursaken Media
SHADOWGUN: DeadZone,iOS||PC||Android,Action||Shooter||Arcade,MADFINGER Games
Sword of Fargoal,iOS,Adventure||RPG,Fargoal
Toy Odyssey: The Lost and Found,Xbox One||PC||macOS||PlayStation 4||Android,Action||Adventure||Indie,Digital Smash||Hikergames
Zombieville USA 2,iOS||Android,Action||Arcade||Casual,Mika Mobile
8DAYS,Xbox One||PlayStation 4,Arcade,
